date,status,adp_status_month
2002-01,unsentenced_by_month,259
2002-01,sentenced_by_month,263
2002-02,unsentenced_by_month,274
2002-02,sentenced_by_month,305
2002-03,unsentenced_by_month,248
2002-03,sentenced_by_month,302
2002-04,unsentenced_by_month,271
2002-04,sentenced_by_month,293
2002-05,unsentenced_by_month,273
2002-05,sentenced_by_month,287
2002-06,unsentenced_by_month,280
2002-06,sentenced_by_month,281
2002-07,unsentenced_by_month,295
2002-07,sentenced_by_month,278
2002-08,unsentenced_by_month,278
2002-08,sentenced_by_month,322
2002-09,unsentenced_by_month,292
2002-09,sentenced_by_month,306
2002-10,unsentenced_by_month,302
2002-10,sentenced_by_month,291
2002-11,unsentenced_by_month,302
2002-11,sentenced_by_month,315
2002-12,unsentenced_by_month,292
2002-12,sentenced_by_month,313
2003-01,unsentenced_by_month,262
2003-01,sentenced_by_month,304
2003-02,unsentenced_by_month,288
2003-02,sentenced_by_month,313
2003-03,unsentenced_by_month,292
2003-03,sentenced_by_month,316
2003-04,unsentenced_by_month,319
2003-04,sentenced_by_month,290
2003-05,unsentenced_by_month,334
2003-05,sentenced_by_month,284
2003-06,unsentenced_by_month,331
2003-06,sentenced_by_month,305
2003-07,unsentenced_by_month,319
2003-07,sentenced_by_month,306
2003-08,unsentenced_by_month,307
2003-08,sentenced_by_month,312
2003-09,unsentenced_by_month,318
2003-09,sentenced_by_month,302
2003-10,unsentenced_by_month,305
2003-10,sentenced_by_month,314
2003-11,unsentenced_by_month,305
2003-11,sentenced_by_month,293
2003-12,unsentenced_by_month,301
2003-12,sentenced_by_month,276
2004-01,unsentenced_by_month,306
2004-01,sentenced_by_month,274
2004-02,unsentenced_by_month,302
2004-02,sentenced_by_month,299
2004-03,unsentenced_by_month,291
2004-03,sentenced_by_month,315
2004-04,unsentenced_by_month,288
2004-04,sentenced_by_month,325
2004-05,unsentenced_by_month,284
2004-05,sentenced_by_month,337
2004-06,unsentenced_by_month,291
2004-06,sentenced_by_month,337
2004-07,unsentenced_by_month,290
2004-07,sentenced_by_month,329
2004-08,unsentenced_by_month,281
2004-08,sentenced_by_month,326
2004-09,unsentenced_by_month,291
2004-09,sentenced_by_month,323
2004-10,unsentenced_by_month,277
2004-10,sentenced_by_month,322
2004-11,unsentenced_by_month,256
2004-11,sentenced_by_month,304
2004-12,unsentenced_by_month,273
2004-12,sentenced_by_month,302
2005-01,unsentenced_by_month,272
2005-01,sentenced_by_month,296
2005-02,unsentenced_by_month,279
2005-02,sentenced_by_month,304
2005-03,unsentenced_by_month,268
2005-03,sentenced_by_month,314
2005-04,unsentenced_by_month,281
2005-04,sentenced_by_month,318
2005-05,unsentenced_by_month,293
2005-05,sentenced_by_month,318
2005-06,unsentenced_by_month,289
2005-06,sentenced_by_month,317
2005-07,unsentenced_by_month,289
2005-07,sentenced_by_month,326
2005-08,unsentenced_by_month,282
2005-08,sentenced_by_month,330
2005-09,unsentenced_by_month,283
2005-09,sentenced_by_month,332
2005-10,unsentenced_by_month,275
2005-10,sentenced_by_month,340
2005-11,unsentenced_by_month,253
2005-11,sentenced_by_month,331
2005-12,unsentenced_by_month,256
2005-12,sentenced_by_month,322
2006-01,unsentenced_by_month,267
2006-01,sentenced_by_month,301
2006-02,unsentenced_by_month,261
2006-02,sentenced_by_month,329
2006-03,unsentenced_by_month,245
2006-03,sentenced_by_month,317
2006-04,unsentenced_by_month,227
2006-04,sentenced_by_month,315
2006-05,unsentenced_by_month,236
2006-05,sentenced_by_month,276
2006-06,unsentenced_by_month,228
2006-06,sentenced_by_month,283
2006-07,unsentenced_by_month,239
2006-07,sentenced_by_month,285
2006-08,unsentenced_by_month,238
2006-08,sentenced_by_month,301
2006-09,unsentenced_by_month,243
2006-09,sentenced_by_month,275
2006-10,unsentenced_by_month,239
2006-10,sentenced_by_month,276
2006-11,unsentenced_by_month,233
2006-11,sentenced_by_month,284
2006-12,unsentenced_by_month,237
2006-12,sentenced_by_month,247
2007-01,unsentenced_by_month,256
2007-01,sentenced_by_month,251
2007-02,unsentenced_by_month,260
2007-02,sentenced_by_month,268
2007-03,unsentenced_by_month,250
2007-03,sentenced_by_month,287
2007-04,unsentenced_by_month,240
2007-04,sentenced_by_month,289
2007-05,unsentenced_by_month,220
2007-05,sentenced_by_month,289
2007-06,unsentenced_by_month,228
2007-06,sentenced_by_month,284
2007-07,unsentenced_by_month,228
2007-07,sentenced_by_month,285
2007-08,unsentenced_by_month,226
2007-08,sentenced_by_month,267
2007-09,unsentenced_by_month,233
2007-09,sentenced_by_month,279
2007-10,unsentenced_by_month,221
2007-10,sentenced_by_month,291
2007-11,unsentenced_by_month,222
2007-11,sentenced_by_month,270
2007-12,unsentenced_by_month,208
2007-12,sentenced_by_month,282
2008-01,unsentenced_by_month,199
2008-01,sentenced_by_month,278
2008-02,unsentenced_by_month,207
2008-02,sentenced_by_month,289
2008-03,unsentenced_by_month,194
2008-03,sentenced_by_month,300
2008-04,unsentenced_by_month,195
2008-04,sentenced_by_month,273
2008-05,unsentenced_by_month,198
2008-05,sentenced_by_month,281
2008-06,unsentenced_by_month,171
2008-06,sentenced_by_month,297
2008-07,unsentenced_by_month,193
2008-07,sentenced_by_month,271
2008-08,unsentenced_by_month,192
2008-08,sentenced_by_month,242
2008-09,unsentenced_by_month,210
2008-09,sentenced_by_month,241
2008-10,unsentenced_by_month,199
2008-10,sentenced_by_month,255
2008-11,unsentenced_by_month,193
2008-11,sentenced_by_month,262
2008-12,unsentenced_by_month,193
2008-12,sentenced_by_month,238
2009-01,unsentenced_by_month,216
2009-01,sentenced_by_month,214
2009-02,unsentenced_by_month,207
2009-02,sentenced_by_month,250
2009-03,unsentenced_by_month,219
2009-03,sentenced_by_month,263
2009-04,unsentenced_by_month,212
2009-04,sentenced_by_month,271
2009-05,unsentenced_by_month,206
2009-05,sentenced_by_month,260
2009-06,unsentenced_by_month,204
2009-06,sentenced_by_month,252
2009-07,unsentenced_by_month,198
2009-07,sentenced_by_month,267
2009-08,unsentenced_by_month,220
2009-08,sentenced_by_month,257
2009-09,unsentenced_by_month,225
2009-09,sentenced_by_month,231
2009-10,unsentenced_by_month,222
2009-10,sentenced_by_month,234
2009-11,unsentenced_by_month,222
2009-11,sentenced_by_month,221
2009-12,unsentenced_by_month,227
2009-12,sentenced_by_month,220
2010-01,unsentenced_by_month,232
2010-01,sentenced_by_month,229
2010-02,unsentenced_by_month,240
2010-02,sentenced_by_month,207
2010-03,unsentenced_by_month,234
2010-03,sentenced_by_month,206
2010-04,unsentenced_by_month,233
2010-04,sentenced_by_month,190
2010-05,unsentenced_by_month,233
2010-05,sentenced_by_month,193
2010-06,unsentenced_by_month,221
2010-06,sentenced_by_month,209
2010-07,unsentenced_by_month,233
2010-07,sentenced_by_month,230
2010-08,unsentenced_by_month,247
2010-08,sentenced_by_month,218
2010-09,unsentenced_by_month,249
2010-09,sentenced_by_month,220
2010-10,unsentenced_by_month,251
2010-10,sentenced_by_month,196
2010-11,unsentenced_by_month,277
2010-11,sentenced_by_month,164
2010-12,unsentenced_by_month,252
2010-12,sentenced_by_month,158
2011-01,unsentenced_by_month,203
2011-01,sentenced_by_month,226
2011-02,unsentenced_by_month,203
2011-02,sentenced_by_month,225
2011-03,unsentenced_by_month,213
2011-03,sentenced_by_month,199
2011-04,unsentenced_by_month,223
2011-04,sentenced_by_month,195
2011-05,unsentenced_by_month,211
2011-05,sentenced_by_month,213
2011-06,unsentenced_by_month,235
2011-06,sentenced_by_month,216
2011-07,unsentenced_by_month,236
2011-07,sentenced_by_month,231
2011-08,unsentenced_by_month,259
2011-08,sentenced_by_month,197
2011-09,unsentenced_by_month,272
2011-09,sentenced_by_month,185
2011-10,unsentenced_by_month,258
2011-10,sentenced_by_month,170
2011-11,unsentenced_by_month,245
2011-11,sentenced_by_month,158
2011-12,unsentenced_by_month,231
2011-12,sentenced_by_month,150
2012-01,unsentenced_by_month,233
2012-01,sentenced_by_month,150
2012-02,unsentenced_by_month,236
2012-02,sentenced_by_month,162
2012-03,unsentenced_by_month,243
2012-03,sentenced_by_month,158
2012-04,unsentenced_by_month,225
2012-04,sentenced_by_month,165
2012-05,unsentenced_by_month,228
2012-05,sentenced_by_month,179
2012-06,unsentenced_by_month,244
2012-06,sentenced_by_month,177
2012-07,unsentenced_by_month,258
2012-07,sentenced_by_month,152
2012-08,unsentenced_by_month,271
2012-08,sentenced_by_month,173
2012-09,unsentenced_by_month,259
2012-09,sentenced_by_month,173
2012-10,unsentenced_by_month,264
2012-10,sentenced_by_month,174
2012-11,unsentenced_by_month,268
2012-11,sentenced_by_month,157
2012-12,unsentenced_by_month,257
2012-12,sentenced_by_month,147
2013-01,unsentenced_by_month,263
2013-01,sentenced_by_month,137
2013-02,unsentenced_by_month,271
2013-02,sentenced_by_month,133
2013-03,unsentenced_by_month,279
2013-03,sentenced_by_month,146
2013-04,unsentenced_by_month,265
2013-04,sentenced_by_month,141
2013-05,unsentenced_by_month,257
2013-05,sentenced_by_month,145
2013-06,unsentenced_by_month,241
2013-06,sentenced_by_month,161
2013-07,unsentenced_by_month,247
2013-07,sentenced_by_month,150
2013-08,unsentenced_by_month,283
2013-08,sentenced_by_month,141
2013-09,unsentenced_by_month,321
2013-09,sentenced_by_month,127
2013-10,unsentenced_by_month,338
2013-10,sentenced_by_month,131
2013-11,unsentenced_by_month,339
2013-11,sentenced_by_month,126
2013-12,unsentenced_by_month,326
2013-12,sentenced_by_month,125
2014-01,unsentenced_by_month,314
2014-01,sentenced_by_month,124
2014-02,unsentenced_by_month,316
2014-02,sentenced_by_month,132
2014-03,unsentenced_by_month,290
2014-03,sentenced_by_month,137
2014-04,unsentenced_by_month,287
2014-04,sentenced_by_month,148
2014-05,unsentenced_by_month,262
2014-05,sentenced_by_month,140
2014-06,unsentenced_by_month,278
2014-06,sentenced_by_month,135
2014-07,unsentenced_by_month,293
2014-07,sentenced_by_month,128
2014-08,unsentenced_by_month,286
2014-08,sentenced_by_month,110
2014-09,unsentenced_by_month,299
2014-09,sentenced_by_month,114
2014-10,unsentenced_by_month,288
2014-10,sentenced_by_month,143
2014-11,unsentenced_by_month,282
2014-11,sentenced_by_month,141
2014-12,unsentenced_by_month,265
2014-12,sentenced_by_month,132
2015-01,unsentenced_by_month,274
2015-01,sentenced_by_month,124
2015-02,unsentenced_by_month,268
2015-02,sentenced_by_month,120
2015-03,unsentenced_by_month,266
2015-03,sentenced_by_month,123
2015-04,unsentenced_by_month,267
2015-04,sentenced_by_month,143
2015-05,unsentenced_by_month,275
2015-05,sentenced_by_month,154
2015-06,unsentenced_by_month,271
2015-06,sentenced_by_month,141
2015-07,unsentenced_by_month,267
2015-07,sentenced_by_month,132
2015-08,unsentenced_by_month,266
2015-08,sentenced_by_month,136
2015-09,unsentenced_by_month,264
2015-09,sentenced_by_month,130
2015-10,unsentenced_by_month,252
2015-10,sentenced_by_month,133
2015-11,unsentenced_by_month,247
2015-11,sentenced_by_month,124
2015-12,unsentenced_by_month,265
2015-12,sentenced_by_month,120
2016-01,unsentenced_by_month,259
2016-01,sentenced_by_month,116
2016-02,unsentenced_by_month,246
2016-02,sentenced_by_month,131
2016-03,unsentenced_by_month,239
2016-03,sentenced_by_month,154
2016-04,unsentenced_by_month,254
2016-04,sentenced_by_month,150
2016-05,unsentenced_by_month,246
2016-05,sentenced_by_month,151
2016-06,unsentenced_by_month,256
2016-06,sentenced_by_month,147
2016-07,unsentenced_by_month,266
2016-07,sentenced_by_month,164
2016-08,unsentenced_by_month,266
2016-08,sentenced_by_month,153
2016-09,unsentenced_by_month,276
2016-09,sentenced_by_month,151
2016-10,unsentenced_by_month,290
2016-10,sentenced_by_month,128
2016-11,unsentenced_by_month,273
2016-11,sentenced_by_month,124
2016-12,unsentenced_by_month,265
2016-12,sentenced_by_month,117
2017-01,unsentenced_by_month,281
2017-01,sentenced_by_month,101
2017-02,unsentenced_by_month,287
2017-02,sentenced_by_month,100
2017-03,unsentenced_by_month,285
2017-03,sentenced_by_month,101
2017-04,unsentenced_by_month,290
2017-04,sentenced_by_month,96
2017-05,unsentenced_by_month,303
2017-05,sentenced_by_month,105
2017-06,unsentenced_by_month,308
2017-06,sentenced_by_month,102
2017-07,unsentenced_by_month,318
2017-07,sentenced_by_month,107
2017-08,unsentenced_by_month,325
2017-08,sentenced_by_month,108
2017-09,unsentenced_by_month,309
2017-09,sentenced_by_month,126
2017-10,unsentenced_by_month,299
2017-10,sentenced_by_month,136
2017-11,unsentenced_by_month,306
2017-11,sentenced_by_month,138
2017-12,unsentenced_by_month,295
2017-12,sentenced_by_month,137
2018-01,unsentenced_by_month,297
2018-01,sentenced_by_month,128
2018-02,unsentenced_by_month,314
2018-02,sentenced_by_month,140
2018-03,unsentenced_by_month,299
2018-03,sentenced_by_month,136
2018-04,unsentenced_by_month,302
2018-04,sentenced_by_month,133
2018-05,unsentenced_by_month,317
2018-05,sentenced_by_month,83
2018-06,unsentenced_by_month,324
2018-06,sentenced_by_month,122
2018-07,unsentenced_by_month,345
2018-07,sentenced_by_month,133
2018-08,unsentenced_by_month,338
2018-08,sentenced_by_month,122
2018-09,unsentenced_by_month,337
2018-09,sentenced_by_month,133
2018-10,unsentenced_by_month,320
2018-10,sentenced_by_month,127
2018-11,unsentenced_by_month,308
2018-11,sentenced_by_month,108
2018-12,unsentenced_by_month,327
2018-12,sentenced_by_month,118
2019-01,unsentenced_by_month,316
2019-01,sentenced_by_month,96
2019-02,unsentenced_by_month,329
2019-02,sentenced_by_month,89
2019-03,unsentenced_by_month,293
2019-03,sentenced_by_month,118
2019-04,unsentenced_by_month,268
2019-04,sentenced_by_month,114
2019-05,unsentenced_by_month,313
2019-05,sentenced_by_month,97
2019-06,unsentenced_by_month,344
2019-06,sentenced_by_month,104
2019-07,unsentenced_by_month,335
2019-07,sentenced_by_month,91
2019-08,unsentenced_by_month,310
2019-08,sentenced_by_month,88
2019-09,unsentenced_by_month,301
2019-09,sentenced_by_month,86
2019-10,unsentenced_by_month,304
2019-10,sentenced_by_month,89
2019-11,unsentenced_by_month,298
2019-11,sentenced_by_month,89
2019-12,unsentenced_by_month,277
2019-12,sentenced_by_month,90
2020-01,unsentenced_by_month,272
2020-01,sentenced_by_month,90
2020-02,unsentenced_by_month,269
2020-02,sentenced_by_month,96
2020-03,unsentenced_by_month,251
2020-03,sentenced_by_month,95
2020-04,unsentenced_by_month,188
2020-04,sentenced_by_month,45
2020-05,unsentenced_by_month,197
2020-05,sentenced_by_month,38
2020-06,unsentenced_by_month,204
2020-06,sentenced_by_month,33
2020-07,unsentenced_by_month,240
2020-07,sentenced_by_month,48
2020-08,unsentenced_by_month,238
2020-08,sentenced_by_month,39
2020-09,unsentenced_by_month,250
2020-09,sentenced_by_month,41
2020-10,unsentenced_by_month,260
2020-10,sentenced_by_month,42
2020-11,unsentenced_by_month,259
2020-11,sentenced_by_month,48
2020-12,unsentenced_by_month,243
2020-12,sentenced_by_month,48
2021-01,unsentenced_by_month,243
2021-01,sentenced_by_month,37
2021-02,unsentenced_by_month,230
2021-02,sentenced_by_month,39
2021-03,unsentenced_by_month,241
2021-03,sentenced_by_month,43
2021-04,unsentenced_by_month,253
2021-04,sentenced_by_month,40
2021-05,unsentenced_by_month,276
2021-05,sentenced_by_month,48
2021-06,unsentenced_by_month,294
2021-06,sentenced_by_month,67
2021-07,unsentenced_by_month,301
2021-07,sentenced_by_month,64
2021-08,unsentenced_by_month,299
2021-08,sentenced_by_month,67
2021-09,unsentenced_by_month,282
2021-09,sentenced_by_month,45
2021-10,unsentenced_by_month,274
2021-10,sentenced_by_month,40
2021-11,unsentenced_by_month,265
2021-11,sentenced_by_month,41
2021-12,unsentenced_by_month,261
2021-12,sentenced_by_month,44
2022-01,unsentenced_by_month,264
2022-01,sentenced_by_month,45
2022-02,unsentenced_by_month,275
2022-02,sentenced_by_month,46
2022-03,unsentenced_by_month,257
2022-03,sentenced_by_month,45
2022-04,unsentenced_by_month,240
2022-04,sentenced_by_month,47
2022-05,unsentenced_by_month,247
2022-05,sentenced_by_month,57
2022-06,unsentenced_by_month,249
2022-06,sentenced_by_month,65
2022-07,unsentenced_by_month,249
2022-07,sentenced_by_month,73
2022-08,unsentenced_by_month,259
2022-08,sentenced_by_month,76
2022-09,unsentenced_by_month,265
2022-09,sentenced_by_month,79
2022-10,unsentenced_by_month,278
2022-10,sentenced_by_month,82
2022-11,unsentenced_by_month,286
2022-11,sentenced_by_month,77
2022-12,unsentenced_by_month,283
2022-12,sentenced_by_month,80
2023-01,unsentenced_by_month,293
2023-01,sentenced_by_month,59